trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
761,False,"{'a': 0.02, 'e': 0.8832895666977755}",20,0,-89.17592790612971,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
762,False,"{'a': 0.02, 'e': 0.8924888463348281}",25,0,-73.17514723068204,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
763,False,"{'a': 0.02, 'e': 0.9013311423330393}",25,0,-55.97665345204463,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
764,False,"{'a': 0.02, 'e': 0.9098129178919064}",25,4,-107.73391884662325,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 1}",1
765,False,"{'a': 0.02, 'e': 0.9179307804142932}",25,0,-75.44468447866551,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
766,False,"{'a': 0.02, 'e': 0.9256814828634282}",25,15,-43.497828684216465,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
767,False,"{'a': 0.02, 'e': 0.9330619250616731}",20,2,-62.414594453248746,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
768,False,"{'a': 0.02, 'e': 0.940069154930553}",25,0,-79.27587249667816,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
769,False,"{'a': 0.02, 'e': 0.9467003696715496}",35,0,-82.3034215403162,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
770,False,"{'a': 0.02, 'e': 0.9529529168871803}",25,0,-57.766869505842294,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
771,False,"{'a': 0.02, 'e': 0.9588242956419256}",20,0,-60.61399955695763,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
772,False,"{'a': 0.02, 'e': 0.9643121574625677}",25,0,-38.05178603778768,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
773,False,"{'a': 0.02, 'e': 0.9694143072775492}",20,0,-48.05955419148808,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
774,False,"{'a': 0.02, 'e': 0.9741287042949709}",30,0,-174.60572505129738,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
775,False,"{'a': 0.02, 'e': 0.9784534628188842}",25,0,-94.70232574726856,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
776,False,"{'a': 0.02, 'e': 0.9823868530035422}",25,0,-83.54199770070886,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
777,False,"{'a': 0.02, 'e': 0.9859273015453158}",30,19,-14.69638456273016,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
778,False,"{'a': 0.02, 'e': 0.9890733923119932}",25,0,-57.459526068683445,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
779,False,"{'a': 0.02, 'e': 0.9918238669092151}",25,0,-65.1841754292729,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
780,False,"{'a': 0.02, 'e': 0.9941776251838151}",25,0,-88.84938536922581,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
781,False,"{'a': 0.02, 'e': 0.9961337256638669}",20,0,-88.8865732167798,"{0: 8, 1: 7, 2: 4, 3: 1, 4: 0}",0
782,False,"{'a': 0.02, 'e': 0.9976913859352587}",30,0,-96.19757866667477,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
783,False,"{'a': 0.02, 'e': 0.9988499829546511}",25,0,-52.16319469995698,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
784,False,"{'a': 0.02, 'e': 0.9996090532986837}",25,0,-70.24335924620297,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
785,False,"{'a': 0.02, 'e': 0.9999682933493399}",30,0,-76.96430412664435,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
786,False,"{'a': 0.02, 'e': 0.9999275594153891}",30,0,-80.13204004961646,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
787,False,"{'a': 0.02, 'e': 0.9994868677898618}",20,0,-46.20357602177768,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
788,False,"{'a': 0.02, 'e': 0.9986463947435326}",25,0,-132.99533839291766,"{0: 11, 1: 8, 2: 4, 3: 1, 4: 1}",0
789,False,"{'a': 0.02, 'e': 0.9974064764544135}",20,0,-45.5403423274618,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
790,False,"{'a': 0.02, 'e': 0.9957676088732885}",20,0,-92.84405075633596,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
791,False,"{'a': 0.02, 'e': 0.9937304475253387}",20,0,-57.4893548510733,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
792,False,"{'a': 0.02, 'e': 0.9912958072479413}",30,0,-120.66275821787117,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
793,False,"{'a': 0.02, 'e': 0.9884646618647457}",30,0,-67.28920683810223,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
794,False,"{'a': 0.02, 'e': 0.9852381437961575}",25,0,-105.847512280718,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
795,False,"{'a': 0.02, 'e': 0.9816175436063844}",20,0,-73.2627982027937,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
796,False,"{'a': 0.02, 'e': 0.9776043094872281}",25,0,-70.39033122840209,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
797,False,"{'a': 0.02, 'e': 0.9732000466788273}",20,12,-25.814734017087495,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
798,False,"{'a': 0.02, 'e': 0.968406516827582}",35,0,-185.3761174991148,"{0: 17, 1: 2, 2: 15, 3: 0, 4: 1}",0
799,False,"{'a': 0.02, 'e': 0.963225637281521}",25,0,-58.398662400131045,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
800,False,"{'a': 0.02, 'e': 0.9576594803233847}",20,0,-144.69536189599134,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
801,False,"{'a': 0.02, 'e': 0.9517102723417418}",20,5,-40.311698464424325,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
802,False,"{'a': 0.02, 'e': 0.9453803929404633}",20,0,-59.91345387217359,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
803,False,"{'a': 0.02, 'e': 0.9386723739869125}",20,0,-95.17357757398351,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
804,False,"{'a': 0.02, 'e': 0.9315888985992303}",20,0,-99.38182625175021,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
805,False,"{'a': 0.02, 'e': 0.9241328000731296}",20,0,-54.480302098750236,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
806,False,"{'a': 0.02, 'e': 0.9163070607486059}",30,0,-130.41578420552008,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
807,False,"{'a': 0.02, 'e': 0.9081148108170474}",25,0,-73.53623419390846,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
808,False,"{'a': 0.02, 'e': 0.8995593270691981}",20,0,-30.296524525346033,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
809,False,"{'a': 0.02, 'e': 0.8906440315844856}",30,0,-44.686734530395086,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
810,False,"{'a': 0.02, 'e': 0.8813724903622346}",25,19,0.7102921004520704,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.02, 'e': 0.8717484118953155}",20,0,-97.33826332892208,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
812,False,"{'a': 0.02, 'e': 0.8617756456867934}",20,1,-34.73017389012336,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
813,False,"{'a': 0.02, 'e': 0.8514581807101873}",25,17,-11.546526558006285,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
814,False,"{'a': 0.02, 'e': 0.8408001438139214}",25,16,2.256822414292784,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
815,False,"{'a': 0.02, 'e': 0.829805798070649}",20,2,-25.886202601221893,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
816,False,"{'a': 0.02, 'e': 0.8184795410720783}",25,4,-46.02255788714224,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
